sequence,case,region,metric,on,off,on_minus_off
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,24.96143115650524,24.973925850608133,-0.012494694102894499
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,28.220138508340586,28.22368783536165,-0.003549327021062254
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,6.6310937106609344,6.63013032078743,0.0009633898735046387
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,25.694711572983685,25.69186244291418,0.0028491300695066
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,7.411449265480042,7.411734604835511,-0.00028533935546892764
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,20.66740188598633,20.691116333007812,-0.023714447021482954
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,2.404607057571411,2.4397621750831604,-0.03515511751174927
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,17.312223116556805,17.311086018880207,0.0011370976765974206
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,8.265957612257738,8.302421569824219,-0.03646395756648069
20200813-subject-02/20200813_153453,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,18.697149719510758,18.695851496287755,0.0012982232230029922
20200813-subject-02/20200813_153802,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,44.67979493737221,44.68027192354202,-0.0004769861698150635
